lichen_metric,element,critical_load,decline_30,decline_50,below_cl,at_cl,above_cl,min_resp,max_resp
total SR,N,3.5,5.5,12,92.0448,2957.8176,6993.849599999999,3.9670943038808275,37.80662651759257
sens SR,N,3.1,4.7,8.3,0,1366.848,8676.864,4.1660267582773685,45.57226080284467
forage abund,N,1.9,2.8,5.2,0,0,9930.816,6.907503825734722,66.20730517412488
cyano abund,N,1.3,1.9,3.5,0,0,10013.875199999999,10.013980979273967,85.40850186657175
total SR,S,6,10.1,NA,10043.711999999998,0,0,2.389745599382181,7.401677310173056
sens SR,S,2.5,3.6,6.6,10043.711999999998,0,0,5.633086973701808,17.32899154470725
forage abund,S,2.6,3.8,6.8,9930.816,0,0,5.254490586852484,16.31229184860524
cyano abund,S,2.3,3.2,5.8,9968.774399999998,45.10079999999999,0,6.193359082159901,19.080117657221095
