ecosystem,type,unit,min,med,max,min_10,med_10,max_10
open,critical load,USFS_60,7.735713005065918,9.039363861083984,10.873662948608398,10.115352630615234,11.628814697265625,13.796143531799316
closed,critical load,USFS_60,11.352800369262695,15.805398941040039,19.96274185180664,15.372665405273438,20.895902633666992,26.128887176513672
