ecosystem,total_area,below_cl,at_cl,above_cl,min_rich_decline,max_rich_decline
open,7191.763199999999,7191.763199999999,0,0,10.115352630615234,13.796143531799316
closed,10016.8128,10016.8128,0,0,Inf,-Inf
